Algorithm	Subject	Run	ReductionPercentage	PreparationTime	SelectionTime	FaultDetectionLoss	FirstFaultyTest
ART-D	chart_v1	48	3	0	0.08714	1	-1
ART-D	chart_v1	49	3	0	0.051511	1	-1
ART-D	chart_v1	50	3	0	0.078436	1	-1
ART-D	chart_v1	1	4	0	0.070593	1	-1
ART-D	chart_v1	2	4	0	0.129968	1	-1
ART-D	chart_v1	3	4	0	0.059717	1	-1
ART-D	chart_v1	4	4	0	0.066775	1	-1
ART-D	chart_v1	5	4	0	0.071601	1	-1
ART-D	chart_v1	6	4	0	0.063757	1	-1
ART-D	chart_v1	7	4	0	0.088286	1	-1
ART-D	chart_v1	8	4	0	0.108893	1	-1
ART-D	chart_v1	9	4	0	0.063009	1	-1
ART-D	chart_v1	10	4	0	0.126006	1	-1
ART-D	chart_v1	11	4	0	0.09471	1	-1
ART-D	chart_v1	12	4	0	0.110575	1	-1
ART-D	chart_v1	13	4	0	0.088742	1	-1
ART-D	chart_v1	14	4	0	0.116046	1	-1
ART-D	chart_v1	15	4	0	0.082458	1	-1
ART-D	chart_v1	16	4	0	0.086318	1	-1
ART-D	chart_v1	17	4	0	0.173041	1	-1
ART-D	chart_v1	18	4	0	0.088949	1	-1
ART-D	chart_v1	19	4	0	0.09664	1	-1
ART-D	chart_v1	20	4	0	0.104104	1	-1
ART-D	chart_v1	21	4	0	0.069681	1	-1
ART-D	chart_v1	22	4	0	0.120621	1	-1
ART-D	chart_v1	23	4	0	0.134748	1	-1
ART-D	chart_v1	24	4	0	0.115689	1	-1
ART-D	chart_v1	25	4	0	0.223359	1	-1
ART-D	chart_v1	26	4	0	0.072664	1	-1
ART-D	chart_v1	27	4	0	0.088095	1	-1
ART-D	chart_v1	28	4	0	0.120696	1	-1
ART-D	chart_v1	29	4	0	0.085218	1	-1
ART-D	chart_v1	30	4	0	0.060985	1	-1
ART-D	chart_v1	31	4	0	0.096713	1	-1
ART-D	chart_v1	32	4	0	0.130006	1	-1
ART-D	chart_v1	33	4	0	0.073802	1	-1
ART-D	chart_v1	34	4	0	0.104946	1	-1
ART-D	chart_v1	35	4	0	0.141907	1	-1
ART-D	chart_v1	36	4	0	0.060383	1	-1
ART-D	chart_v1	37	4	0	0.048471	1	-1
ART-D	chart_v1	38	4	0	0.155486	1	-1
ART-D	chart_v1	39	4	0	0.097466	1	-1
ART-D	chart_v1	40	4	0	0.076708	1	-1
ART-D	chart_v1	41	4	0	0.054046	0	2
ART-D	chart_v1	42	4	0	0.06882	1	-1
ART-D	chart_v1	43	4	0	0.054467	1	-1
ART-D	chart_v1	44	4	0	0.06911	1	-1
ART-D	chart_v1	45	4	0	0.145681	1	-1
ART-D	chart_v1	46	4	0	0.103431	1	-1
ART-D	chart_v1	47	4	0	0.073864	1	-1
ART-D	chart_v1	48	4	0	0.121667	1	-1
ART-D	chart_v1	49	4	0	0.072596	1	-1
ART-D	chart_v1	50	4	0	0.077078	1	-1
ART-D	chart_v1	1	5	0	0.080098	1	-1
ART-D	chart_v1	2	5	0	0.109411	1	-1
ART-D	chart_v1	3	5	0	0.203078	1	-1
ART-D	chart_v1	4	5	0	0.074634	1	-1
ART-D	chart_v1	5	5	0	0.22351	1	-1
ART-D	chart_v1	6	5	0	0.068687	1	-1
ART-D	chart_v1	7	5	0	0.100703	1	-1
ART-D	chart_v1	8	5	0	0.097741	1	-1
ART-D	chart_v1	9	5	0	0.177236	1	-1
ART-D	chart_v1	10	5	0	0.11954	1	-1
ART-D	chart_v1	11	5	0	0.180969	1	-1
ART-D	chart_v1	12	5	0	0.108492	1	-1
ART-D	chart_v1	13	5	0	0.088436	1	-1
