Algorithm	Subject	Run	PreparationTime	SelectionTime	FaultDetectionLoss	TestSuiteReduction	FirstFaultyTest
ART-D	gzip_v1	49	0	0.115985	0.1428571429	0.3551401869	1
ART-D	gzip_v1	50	0	0.072414	0.1428571429	0.5	1
ART-D	make_v1	1	0	9.307651	0	0.1131428571	3
ART-D	make_v1	2	0	7.730289	0.5263157895	0.2125714286	6
ART-D	make_v1	3	0	3.48572	0.5263157895	0.4731428571	3
ART-D	make_v1	4	0	6.252198	0	0.3074285714	1
ART-D	make_v1	5	0	2.845902	0.5263157895	0.5291428571	1
ART-D	make_v1	6	0	5.657653	0	0.3325714286	1
ART-D	make_v1	7	0	11.604266	0	0.024	1
ART-D	make_v1	8	0	8.482645	0.5263157895	0.1897142857	2
ART-D	make_v1	9	0	8.586912	0.5263157895	0.1725714286	1
ART-D	make_v1	10	0	5.201525	0.5263157895	0.3668571429	4
ART-D	make_v1	11	0	9.78142	0	0.1097142857	1
ART-D	make_v1	12	0	3.589292	0	0.4765714286	2
ART-D	make_v1	13	0	8.359124	0	0.2	1
ART-D	make_v1	14	0	11.621929	0	0.0251428571	4
ART-D	make_v1	15	0	5.645445	0	0.3177142857	1
ART-D	make_v1	16	0	4.532636	0	0.4045714286	3
ART-D	make_v1	17	0	11.270952	0.5263157895	0.0388571429	1
ART-D	make_v1	18	0	4.714529	0.5263157895	0.3942857143	1
ART-D	make_v1	19	0	8.935365	0	0.1485714286	1
ART-D	make_v1	20	0	7.796988	0.5263157895	0.1942857143	1
ART-D	make_v1	21	0	2.282353	0.5263157895	0.5805714286	1
ART-D	make_v1	22	0	3.435896	0.5263157895	0.4685714286	1
ART-D	make_v1	23	0	10.332213	0	0.0777142857	1
ART-D	make_v1	24	0	2.795863	0	0.5348571429	1
ART-D	make_v1	25	0	6.502732	0	0.3028571429	1
ART-D	make_v1	26	0	3.756636	0.5263157895	0.4571428571	1
ART-D	make_v1	27	0	10.202622	0	0.1051428571	2
ART-D	make_v1	28	0	8.256598	0	0.1862857143	1
ART-D	make_v1	29	0	9.080047	0	0.1382857143	1
ART-D	make_v1	30	0	3.303139	0	0.4834285714	1
ART-D	make_v1	31	0	6.000327	0	0.296	2
ART-D	make_v1	32	0	9.273312	0	0.1245714286	1
ART-D	make_v1	33	0	10.674008	0	0.0582857143	5
ART-D	make_v1	34	0	5.225537	0.5263157895	0.3485714286	2
ART-D	make_v1	35	0	4.195217	0.5263157895	0.4205714286	1
ART-D	make_v1	36	0	5.394468	0	0.3371428571	4
ART-D	make_v1	37	0	4.42201	0	0.4045714286	1
ART-D	make_v1	38	0	9.597548	0	0.1222857143	1
ART-D	make_v1	39	0	2.805776	0.5263157895	0.5302857143	2
ART-D	make_v1	40	0	4.235314	0	0.4148571429	1
ART-D	make_v1	41	0	7.083125	0	0.2537142857	3
ART-D	make_v1	42	0	10.866356	0	0.0617142857	1
ART-D	make_v1	43	0	10.871821	0	0.0765714286	1
ART-D	make_v1	44	0	3.256166	0	0.4948571429	1
ART-D	make_v1	45	0	11.884537	0	0.0308571429	1
ART-D	make_v1	46	0	7.374255	0	0.2502857143	3
ART-D	make_v1	47	0	9.693732	0	0.1097142857	1
ART-D	make_v1	48	0	7.790919	0.5263157895	0.208	1
ART-D	make_v1	49	0	5.376536	0	0.3462857143	3
ART-D	make_v1	50	0	5.929805	0	0.2971428571	4
ART-D	sed_v6	1	0	1.787583	0	0.372972973	1
ART-D	sed_v6	2	0	2.928994	0	0.2216216216	2
ART-D	sed_v6	3	0	2.022978	0	0.3216216216	3
ART-D	sed_v6	4	0	2.456472	0	0.2621621622	2
ART-D	sed_v6	5	0	3.52151	0	0.0756756757	1
ART-D	sed_v6	6	0	4.406781	0	0.0216216216	1
ART-D	sed_v6	7	0	3.189568	0	0.1459459459	1
ART-D	sed_v6	8	0	3.30941	0	0.1648648649	1
ART-D	sed_v6	9	0	1.976899	0	0.327027027	2
ART-D	sed_v6	10	0	1.244386	0	0.4972972973	2
ART-D	sed_v6	11	0	3.941517	0	0.0675675676	3
ART-D	sed_v6	12	0	3.125343	0	0.1567567568	2
ART-D	sed_v6	13	0	2.28822	0	0.3135135135	2
ART-D	sed_v6	14	0	0.897204	0.1666666667	0.5594594595	6
ART-D	sed_v6	15	0	4.062026	0	0.0297297297	1
ART-D	sed_v6	16	0	3.078086	0	0.1837837838	1
ART-D	sed_v6	17	0	3.067679	0	0.2324324324	1
ART-D	sed_v6	18	0	2.473088	0	0.2432432432	1
ART-D	sed_v6	19	0	0.619204	0	0.6405405405	1
ART-D	sed_v6	20	0	3.117466	0	0.1540540541	2
ART-D	sed_v6	21	0	3.823313	0	0.0675675676	1
ART-D	sed_v6	22	0	1.660551	0	0.4162162162	1
ART-D	sed_v6	23	0	2.633133	0	0.2486486486	1
ART-D	sed_v6	24	0	2.732512	0	0.2594594595	2
ART-D	sed_v6	25	0	3.651367	0	0.1027027027	5
ART-D	sed_v6	26	0	1.761261	0	0.4	3
ART-D	sed_v6	27	0	3.310673	0	0.1405405405	2
ART-D	sed_v6	28	0	3.389521	0	0.1378378378	1
ART-D	sed_v6	29	0	1.028982	0	0.5351351351	1
ART-D	sed_v6	30	0	3.194423	0	0.1756756757	1
ART-D	sed_v6	31	0	2.386598	0	0.3054054054	2
ART-D	sed_v6	32	0	1.560355	0	0.4081081081	1
ART-D	sed_v6	33	0	2.312216	0	0.2837837838	1
ART-D	sed_v6	34	0	2.265356	0	0.2972972973	1
ART-D	sed_v6	35	0	0.983504	0	0.5405405405	2
ART-D	sed_v6	36	0	3.570564	0	0.1081081081	7
ART-D	sed_v6	37	0	1.803294	0	0.3648648649	2
ART-D	sed_v6	38	0	2.01563	0	0.3162162162	1
ART-D	sed_v6	39	0	3.277952	0	0.1459459459	1
ART-D	sed_v6	40	0	3.103566	0	0.1675675676	2
ART-D	sed_v6	41	0	1.463059	0	0.4216216216	1
ART-D	sed_v6	42	0	1.611946	0	0.4162162162	2
ART-D	sed_v6	43	0	2.366299	0	0.3243243243	1
ART-D	sed_v6	44	0	1.526615	0	0.4756756757	1
ART-D	sed_v6	45	0	1.266509	0.1666666667	0.4945945946	2
ART-D	sed_v6	46	0	2.235968	0	0.3081081081	2
ART-D	sed_v6	47	0	1.211781	0	0.4918918919	2
ART-D	sed_v6	48	0	3.663358	0	0.0945945946	2
ART-D	sed_v6	49	0	2.146296	0	0.3162162162	1
ART-D	sed_v6	50	0	2.097715	0	0.3324324324	1
ART-F	flex_v3	1	0	55.599879	0	0.2597014925	2
ART-F	flex_v3	2	0	92.166819	0	0.0656716418	2
ART-F	flex_v3	3	0	35.696588	0	0.4074626866	1
ART-F	flex_v3	4	0	45.808749	0	0.3343283582	1
ART-F	flex_v3	5	0	55.626369	0	0.2686567164	1
ART-F	flex_v3	6	0	91.067577	0	0.0686567164	1
ART-F	flex_v3	7	0	101.16851	0	0.0074626866	1
ART-F	flex_v3	8	0	102.064947	0	0.0164179104	1
ART-F	flex_v3	9	0	105.376751	0	0.0014925373	10
ART-F	flex_v3	10	0	84.235299	0	0.1194029851	6
ART-F	flex_v3	11	0	96.246664	0	0.0313432836	1
ART-F	flex_v3	12	0	48.013299	0	0.3134328358	1
ART-F	flex_v3	13	0	52.464869	0	0.3044776119	1
ART-F	flex_v3	14	0	83.999853	0	0.1059701493	3
ART-F	flex_v3	15	0	49.824317	0	0.3059701493	2
ART-F	flex_v3	16	0	74.150752	0	0.1507462687	2
ART-F	flex_v3	17	0	48.174483	0	0.3089552239	2
ART-F	flex_v3	18	0	61.902555	0	0.2194029851	2
ART-F	flex_v3	19	0	100.824223	0	0.0089552239	2
ART-F	flex_v3	20	0	33.70752	0.1111111111	0.4328358209	2
ART-F	flex_v3	21	0	64.555886	0	0.2149253731	3
ART-F	flex_v3	22	0	85.096582	0	0.1208955224	1
ART-F	flex_v3	23	0	69.483151	0	0.2253731343	1
ART-F	flex_v3	24	0	108.398436	0	0.0298507463	2
ART-F	flex_v3	25	0	68.142777	0	0.2134328358	1
ART-F	flex_v3	26	0	62.537473	0	0.2313432836	3
ART-F	flex_v3	27	0	104.846026	0	0.0014925373	5
ART-F	flex_v3	28	0	72.451154	0	0.1671641791	2
ART-F	flex_v3	29	0	88.049826	0	0.1059701493	1
ART-F	flex_v3	30	0	65.879746	0	0.2119402985	1
ART-F	flex_v3	31	0	104.054808	0	0.0014925373	1
ART-F	flex_v3	32	0	91.075379	0	0.0597014925	2
ART-F	flex_v3	33	0	31.891224	0	0.4358208955	2
ART-F	flex_v3	34	0	80.02504	0	0.1119402985	3
ART-F	flex_v3	35	0	87.963741	0	0.0597014925	1
ART-F	flex_v3	36	0	92.766845	0	0.0507462687	8
ART-F	flex_v3	37	0	77.793178	0	0.1208955224	2
ART-F	flex_v3	38	0	55.553189	0	0.2552238806	2
ART-F	flex_v3	39	0	93.774018	0	0.0373134328	2
ART-F	flex_v3	40	0	63.491644	0	0.2029850746	1
ART-F	flex_v3	41	0	28.107178	0	0.4671641791	2
ART-F	flex_v3	42	0	79.710167	0	0.1089552239	1
ART-F	flex_v3	43	0	84.569418	0	0.1014925373	1
ART-F	flex_v3	44	0	66.296682	0	0.1865671642	2
ART-F	flex_v3	45	0	92.190366	0	0.0432835821	3
ART-F	flex_v3	46	0	82.708085	0	0.0940298507	1
ART-F	flex_v3	47	0	64.274977	0	0.1985074627	5
ART-F	flex_v3	48	0	20.78053	0.1111111111	0.5447761194	2
ART-F	flex_v3	49	0	79.97517	0	0.1119402985	4
ART-F	flex_v3	50	0	99.972352	0	0.0134328358	1
ART-F	grep_v3	1	0	0.047249	0.25	0.9839307787	2
ART-F	grep_v3	2	0	0.0331	0.625	0.9901112485	1
ART-F	grep_v3	3	0	0.06199	0.5	0.9814585909	1
ART-F	grep_v3	4	0	0.032891	0.375	0.9876390606	1
ART-F	grep_v3	5	0	0.035743	0.5	0.9888751545	1
ART-F	grep_v3	6	0	0.041606	0.5	0.9864029666	3
ART-F	grep_v3	7	0	0.036098	0.375	0.9913473424	1
ART-F	grep_v3	8	0	0.032557	0.375	0.9876390606	1
ART-F	grep_v3	9	0	0.039466	0.25	0.9876390606	1
ART-F	grep_v3	10	0	0.032862	0.625	0.9913473424	1
