Algorithm	Subject	Run	ReductionPercentage	PreparationTime	SelectionTime	FaultDetectionLoss	FirstFaultyTest
ART-D	flex_v3	11	5	0	0.055407	0.4444444444	3
ART-D	flex_v3	12	5	0	0.050422	0.1111111111	2
ART-D	flex_v3	13	5	0	0.056624	0.1111111111	3
ART-D	flex_v3	14	5	0	0.059874	0.3333333333	1
ART-D	flex_v3	15	5	0	0.048872	0.3333333333	2
ART-D	flex_v3	16	5	0	0.059819	0.4444444444	4
ART-D	flex_v3	17	5	0	0.058473	0.1111111111	3
ART-D	flex_v3	18	5	0	0.050434	0.2222222222	1
ART-D	flex_v3	19	5	0	0.055293	0.3333333333	1
ART-D	flex_v3	20	5	0	0.057569	0.3333333333	1
ART-D	flex_v3	21	5	0	0.062632	0.4444444444	1
ART-D	flex_v3	22	5	0	0.051348	0.1111111111	1
ART-D	flex_v3	23	5	0	0.056627	0.3333333333	1
ART-D	flex_v3	24	5	0	0.054183	0.2222222222	1
ART-D	flex_v3	25	5	0	0.054677	0.2222222222	1
ART-D	flex_v3	26	5	0	0.05078	0.4444444444	1
ART-D	flex_v3	27	5	0	0.051581	0.5555555556	2
ART-D	flex_v3	28	5	0	0.06498	0.4444444444	1
ART-D	flex_v3	29	5	0	0.060468	0.1111111111	2
ART-D	flex_v3	30	5	0	0.05109	0	1
ART-D	flex_v3	31	5	0	0.051277	0.4444444444	2
ART-D	flex_v3	32	5	0	0.052914	0.2222222222	1
ART-D	flex_v3	33	5	0	0.050429	0.3333333333	1
ART-D	flex_v3	34	5	0	0.055473	0.4444444444	5
ART-D	flex_v3	35	5	0	0.052501	0.3333333333	1
ART-D	flex_v3	36	5	0	0.056732	0.4444444444	3
ART-D	flex_v3	37	5	0	0.060435	0.4444444444	1
ART-D	flex_v3	38	5	0	0.059433	0.3333333333	1
ART-D	flex_v3	39	5	0	0.05441	0.4444444444	3
ART-D	flex_v3	40	5	0	0.052597	0.2222222222	4
ART-D	flex_v3	41	5	0	0.057247	0.3333333333	2
ART-D	flex_v3	42	5	0	0.053004	0.4444444444	1
ART-D	flex_v3	43	5	0	0.055082	0.5555555556	1
ART-D	flex_v3	44	5	0	0.056205	0.4444444444	1
ART-D	flex_v3	45	5	0	0.053268	0.3333333333	1
ART-D	flex_v3	46	5	0	0.065681	0.4444444444	2
ART-D	flex_v3	47	5	0	0.05653	0.4444444444	3
ART-D	flex_v3	48	5	0	0.066859	0.3333333333	1
ART-D	flex_v3	49	5	0	0.059556	0.3333333333	2
ART-D	flex_v3	50	5	0	0.058529	0.3333333333	1
ART-D	flex_v3	1	6	0	0.067678	0.3333333333	2
ART-D	flex_v3	2	6	0	0.067144	0.2222222222	1
ART-D	flex_v3	3	6	0	0.071249	0.3333333333	1
ART-D	flex_v3	4	6	0	0.064747	0.4444444444	1
ART-D	flex_v3	5	6	0	0.066059	0.4444444444	1
ART-D	flex_v3	6	6	0	0.071878	0.1111111111	1
ART-D	flex_v3	7	6	0	0.072009	0.1111111111	1
ART-D	flex_v3	8	6	0	0.073481	0.3333333333	1
ART-D	flex_v3	9	6	0	0.075946	0.4444444444	1
