Algorithm	Subject	Run	PreparationTime	SelectionTime	FaultDetectionLoss	TestSuiteReduction	FirstFaultyTest
ART-D	math_v1	6	0	13.965104	0	0	175
ART-D	math_v1	7	0	12.378375	0	0.0078125	220
ART-D	math_v1	8	0	17.181948	0	0.0026041667	230
ART-D	math_v1	9	0	16.015242	0	0.0052083333	1
ART-D	math_v1	10	0	14.755281	0	0	109
ART-D	math_v1	11	0	14.301681	0	0	51
ART-D	math_v1	12	0	16.023484	0	0.0104166667	140
ART-D	math_v1	13	0	14.115391	0	0.0052083333	166
ART-D	math_v1	14	0	18.198435	0	0	1
ART-D	math_v1	15	0	16.504125	0	0.0078125	13
ART-D	math_v1	16	0	14.672983	0	0.0026041667	314
ART-D	math_v1	17	0	14.114238	0	0	8
ART-D	math_v1	18	0	15.275571	0	0.0208333333	186
ART-D	math_v1	19	0	14.201316	0	0.0026041667	131
ART-D	math_v1	20	0	16.887717	0	0.0104166667	173
ART-D	math_v1	21	0	15.491352	0	0.0078125	39
ART-D	math_v1	22	0	14.713776	0	0.0078125	82
ART-D	math_v1	23	0	15.989067	0	0.0052083333	1
ART-D	math_v1	24	0	16.195696	0	0.0052083333	310
ART-D	math_v1	25	0	15.100317	0	0.0104166667	222
ART-D	math_v1	26	0	20.110145	0	0.0052083333	48
ART-D	math_v1	27	0	15.252676	0	0.0026041667	45
ART-D	math_v1	28	0	17.752584	0	0.0104166667	166
ART-D	math_v1	29	0	14.042564	0	0.0052083333	178
ART-D	math_v1	30	0	19.103282	0	0.0052083333	129
ART-D	math_v1	31	0	14.982044	0	0.0130208333	104
ART-D	math_v1	32	0	17.058104	0	0.015625	65
ART-D	math_v1	33	0	15.158395	0	0.0052083333	140
ART-D	math_v1	34	0	15.1442	0	0.0026041667	11
ART-D	math_v1	35	0	17.841392	0	0.0104166667	41
ART-D	math_v1	36	0	16.395597	0	0	70
ART-D	math_v1	37	0	15.998717	0	0.0078125	64
ART-D	math_v1	38	0	18.472778	0	0	224
ART-D	math_v1	39	0	14.16831	0	0.0052083333	179
ART-D	math_v1	40	0	19.366114	0	0.015625	269
ART-D	math_v1	41	0	16.597333	0	0.0078125	159
ART-D	math_v1	42	0	17.189184	0	0.0026041667	72
ART-D	math_v1	43	0	16.055716	0	0	28
ART-D	math_v1	44	0	16.633614	0	0.0052083333	173
ART-D	math_v1	45	0	15.481153	0	0.0052083333	323
ART-D	math_v1	46	0	17.182086	0	0.0052083333	152
ART-D	math_v1	47	0	16.663841	0	0.0026041667	254
ART-D	math_v1	48	0	14.678214	0	0.0026041667	187
ART-D	math_v1	49	0	15.792303	0	0.0026041667	9
ART-D	math_v1	50	0	15.783934	0	0.0026041667	265
ART-D	time_v1	1	0	3.813737	0	0.0327868852	60
ART-D	time_v1	2	0	4.071175	0	0	107
ART-D	time_v1	3	0	2.869623	0	0	86
ART-D	time_v1	4	0	2.996842	0	0.0245901639	52
ART-D	time_v1	5	0	3.377141	0	0.0163934426	56
ART-D	time_v1	6	0	4.120907	0	0	115
ART-D	time_v1	7	0	3.711871	0	0.0081967213	109
ART-D	time_v1	8	0	3.654418	0	0.0081967213	85
ART-D	time_v1	9	0	4.427423	0	0.0163934426	24
ART-D	time_v1	10	0	3.808472	0	0.0081967213	41
ART-D	time_v1	11	0	3.651696	0	0	59
ART-D	time_v1	12	0	3.20408	0	0	44
ART-D	time_v1	13	0	2.852145	0	0.0163934426	45
ART-D	time_v1	14	0	3.655055	0	0	12
ART-D	time_v1	15	0	3.448884	0	0	103
ART-D	time_v1	16	0	3.165269	0	0.0163934426	65
ART-D	time_v1	17	0	3.629808	0	0.0081967213	34
ART-D	time_v1	18	0	3.786698	0	0.0245901639	67
ART-D	time_v1	19	0	3.937851	0	0	99
ART-D	time_v1	20	0	3.581564	0	0.0081967213	56
ART-D	time_v1	21	0	3.688012	0	0.0327868852	30
ART-D	time_v1	22	0	4.60945	0	0.0327868852	94
ART-D	time_v1	23	0	3.647492	0	0	23
ART-D	time_v1	24	0	3.064499	0	0	28
ART-D	time_v1	25	0	4.04637	0	0	35
ART-D	time_v1	26	0	3.851889	0	0	5
ART-D	time_v1	27	0	4.207074	0	0.0163934426	56
ART-D	time_v1	28	0	3.337352	0	0	61
ART-D	time_v1	29	0	4.308254	0	0.0081967213	83
ART-D	time_v1	30	0	3.518678	0	0.0163934426	55
ART-D	time_v1	31	0	4.791899	0	0.0245901639	95
ART-D	time_v1	32	0	3.091577	0	0.0081967213	35
ART-D	time_v1	33	0	3.55804	0	0.0163934426	15
ART-D	time_v1	34	0	3.262423	0	0	75
ART-D	time_v1	35	0	3.226767	0	0.0081967213	77
ART-D	time_v1	36	0	4.229042	0	0.0409836066	29
ART-D	time_v1	37	0	2.814658	0	0	118
ART-D	time_v1	38	0	4.214516	0	0.0081967213	74
ART-D	time_v1	39	0	4.180133	0	0.0081967213	17
