Algorithm	Subject	Run	PreparationTime	SelectionTime	FaultDetectionLoss	TestSuiteReduction	FirstFaultyTest
ART-D	flex_v3	47	0	368.430937	0	0.0253731343	1
ART-D	flex_v3	48	0	373.130626	0	0.0298507463	1
ART-D	flex_v3	49	0	356.426948	0	0.028358209	2
ART-D	flex_v3	50	0	352.193044	0	0.0149253731	1
ART-D	grep_v3	1	0	343.830138	0	0.0024721879	1
ART-D	grep_v3	2	0	305.985303	0	0.043263288	1
ART-D	grep_v3	3	0	331.047172	0	0.0506798517	1
ART-D	grep_v3	4	0	268.522314	0	0.1211372064	1
ART-D	grep_v3	5	0	329.966373	0	0.0160692213	1
ART-D	grep_v3	6	0	303.122279	0	0.0234857849	1
ART-D	grep_v3	7	0	323.719758	0	0.0160692213	1
ART-D	grep_v3	8	0	323.509056	0	0.0135970334	1
ART-D	grep_v3	9	0	344.598445	0	0.0037082818	1
ART-D	grep_v3	10	0	313.123246	0	0.0531520396	1
ART-D	grep_v3	11	0	313.379812	0	0.0247218789	1
ART-D	grep_v3	12	0	316.404015	0	0.022249691	1
ART-D	grep_v3	13	0	326.022477	0	0.0049443758	1
ART-D	grep_v3	14	0	308.280916	0	0.0284301607	1
ART-D	grep_v3	15	0	312.538067	0	0.0321384425	1
ART-D	grep_v3	16	0	291.752837	0	0.0543881335	1
ART-D	grep_v3	17	0	326.637632	0	0.0309023486	1
ART-D	grep_v3	18	0	298.682974	0	0.0407911001	1
ART-D	grep_v3	19	0	336.036137	0	0.0296662546	1
ART-D	grep_v3	20	0	330.394695	0	0.0333745365	1
ART-D	grep_v3	21	0	310.972608	0	0.0568603214	1
ART-D	grep_v3	22	0	282.806951	0	0.0828182942	1
ART-D	grep_v3	23	0	333.052224	0	0.0185414091	1
ART-D	grep_v3	24	0	362.017427	0	0.0098887515	1
ART-D	grep_v3	25	0	384.66521	0	0.0074165637	1
ART-D	grep_v3	26	0	323.383722	0	0.064276885	1
ART-D	grep_v3	27	0	288.297132	0	0.0778739184	1
ART-D	grep_v3	28	0	281.516266	0	0.1161928307	1
ART-D	grep_v3	29	0	333.235706	0	0.0024721879	1
ART-D	grep_v3	30	0	319.803786	0	0	1
ART-D	grep_v3	31	0	332.658861	0	0.0271940667	1
ART-D	grep_v3	32	0	362.759283	0	0.0284301607	1
ART-D	grep_v3	33	0	322.688835	0	0	1
ART-D	grep_v3	34	0	323.774409	0	0.0333745365	1
ART-D	grep_v3	35	0	320.716818	0	0.0482076638	1
ART-D	grep_v3	36	0	301.677541	0	0.0618046972	4
ART-D	grep_v3	37	0	315.20382	0	0.0358467244	1
ART-D	grep_v3	38	0	301.552912	0	0.0964153276	1
ART-D	grep_v3	39	0	364.280048	0	0.022249691	1
ART-D	grep_v3	40	0	319.042421	0	0.0346106304	1
ART-D	grep_v3	41	0	319.95157	0	0.0259579728	1
ART-D	grep_v3	42	0	326.775751	0	0.0098887515	1
ART-D	grep_v3	43	0	352.837461	0	0.0061804697	1
ART-D	grep_v3	44	0	314.25405	0	0.0185414091	1
ART-D	grep_v3	45	0	323.353371	0	0.0024721879	1
ART-D	grep_v3	46	0	352.087187	0	0.0123609394	1
ART-D	grep_v3	47	0	268.439912	0	0.1137206428	1
ART-D	grep_v3	48	0	346.336544	0	0.0370828183	1
ART-D	grep_v3	49	0	321.14216	0	0.0024721879	2
