Algorithm	Subject	Run	ReductionPercentage	PreparationTime	SelectionTime	FaultDetectionLoss	FirstFaultyTest
ART-D	flex_v3	7	5	0	1.297487	0.3333333333	1
ART-D	flex_v3	8	5	0	1.267923	0.3333333333	2
ART-D	flex_v3	9	5	0	1.264742	0.5555555556	2
ART-D	flex_v3	10	5	0	1.143678	0.3333333333	1
ART-D	flex_v3	11	5	0	1.225897	0.5555555556	5
ART-D	flex_v3	12	5	0	1.18832	0.4444444444	1
ART-D	flex_v3	13	5	0	1.158308	0.5555555556	1
ART-D	flex_v3	14	5	0	1.264304	0.1111111111	1
ART-D	flex_v3	15	5	0	1.383091	0.1111111111	2
ART-D	flex_v3	16	5	0	1.263927	0.1111111111	2
ART-D	flex_v3	17	5	0	1.473955	0.3333333333	1
ART-D	flex_v3	18	5	0	1.296065	0	1
ART-D	flex_v3	19	5	0	1.121088	0.4444444444	1
ART-D	flex_v3	20	5	0	1.006159	0.3333333333	2
ART-D	flex_v3	21	5	0	1.130293	0.3333333333	1
ART-D	flex_v3	22	5	0	1.337597	0.2222222222	2
ART-D	flex_v3	23	5	0	1.214428	0.2222222222	1
ART-D	flex_v3	24	5	0	1.264024	0.2222222222	1
ART-D	flex_v3	25	5	0	1.431659	0.3333333333	1
ART-D	flex_v3	26	5	0	1.269901	0.4444444444	1
ART-D	flex_v3	27	5	0	1.28996	0.4444444444	3
ART-D	flex_v3	28	5	0	1.382493	0.4444444444	1
ART-D	flex_v3	29	5	0	1.685739	0.4444444444	3
ART-D	flex_v3	30	5	0	1.136192	0.3333333333	2
ART-D	flex_v3	31	5	0	1.330601	0.1111111111	1
ART-D	flex_v3	32	5	0	1.242604	0.3333333333	3
ART-D	flex_v3	33	5	0	1.255392	0.4444444444	1
ART-D	flex_v3	34	5	0	1.582679	0.4444444444	2
ART-D	flex_v3	35	5	0	1.005	0.3333333333	3
ART-D	flex_v3	36	5	0	1.546939	0.3333333333	2
ART-D	flex_v3	37	5	0	1.393321	0.4444444444	1
ART-D	flex_v3	38	5	0	1.625159	0.4444444444	1
ART-D	flex_v3	39	5	0	1.539391	0.3333333333	1
ART-D	flex_v3	40	5	0	1.442582	0.1111111111	1
ART-D	flex_v3	41	5	0	1.137066	0.4444444444	2
ART-D	flex_v3	42	5	0	1.262679	0.4444444444	1
ART-D	flex_v3	43	5	0	1.212329	0.3333333333	1
ART-D	flex_v3	44	5	0	1.389817	0.4444444444	3
ART-D	flex_v3	45	5	0	1.299004	0.4444444444	1
ART-D	flex_v3	46	5	0	1.976892	0.1111111111	1
ART-D	flex_v3	47	5	0	1.739563	0.2222222222	1
ART-D	flex_v3	48	5	0	2.250512	0.2222222222	2
ART-D	flex_v3	49	5	0	1.647169	0.3333333333	1
ART-D	flex_v3	50	5	0	1.324014	0.2222222222	2
ART-D	flex_v3	1	6	0	1.954716	0.3333333333	1
ART-D	flex_v3	2	6	0	1.510263	0.1111111111	1
ART-D	flex_v3	3	6	0	2.455452	0.3333333333	1
ART-D	flex_v3	4	6	0	1.744325	0.1111111111	1
ART-D	flex_v3	5	6	0	2.430989	0.4444444444	2
ART-D	flex_v3	6	6	0	2.308	0.1111111111	2
ART-D	flex_v3	7	6	0	1.775529	0.4444444444	1
ART-D	flex_v3	8	6	0	1.660212	0.4444444444	2
ART-D	flex_v3	9	6	0	2.309882	0.3333333333	1
ART-D	flex_v3	10	6	0	1.694495	0.2222222222	3
ART-D	flex_v3	11	6	0	1.807082	0.4444444444	1
ART-D	flex_v3	12	6	0	2.074822	0.4444444444	1
ART-D	flex_v3	13	6	0	1.800488	0.3333333333	1
ART-D	flex_v3	14	6	0	1.69962	0.4444444444	3
ART-D	flex_v3	15	6	0	1.66264	0.2222222222	2
ART-D	flex_v3	16	6	0	2.026028	0.4444444444	1
ART-D	flex_v3	17	6	0	1.817472	0.1111111111	1
ART-D	flex_v3	18	6	0	1.737421	0.2222222222	1
ART-D	flex_v3	19	6	0	1.6701	0.4444444444	3
ART-D	flex_v3	20	6	0	2.240475	0.1111111111	2
ART-D	flex_v3	21	6	0	1.821933	0.3333333333	1
ART-D	flex_v3	22	6	0	2.032163	0.1111111111	2
ART-D	flex_v3	23	6	0	1.811483	0.2222222222	2
ART-D	flex_v3	24	6	0	1.834065	0.3333333333	1
ART-D	flex_v3	25	6	0	1.490913	0.4444444444	1
ART-D	flex_v3	26	6	0	1.844451	0.3333333333	5
ART-D	flex_v3	27	6	0	2.374147	0.3333333333	3
ART-D	flex_v3	28	6	0	2.167668	0.3333333333	1
ART-D	flex_v3	29	6	0	2.230197	0.1111111111	1
ART-D	flex_v3	30	6	0	1.921139	0.3333333333	1
ART-D	flex_v3	31	6	0	1.622982	0.4444444444	3
ART-D	flex_v3	32	6	0	1.646201	0.1111111111	2
ART-D	flex_v3	33	6	0	2.002556	0.2222222222	1
ART-D	flex_v3	34	6	0	2.060738	0.3333333333	2
ART-D	flex_v3	35	6	0	1.794833	0.4444444444	1
ART-D	flex_v3	36	6	0	1.624569	0.3333333333	2
ART-D	flex_v3	37	6	0	2.165415	0.4444444444	2
ART-D	flex_v3	38	6	0	1.774109	0.3333333333	2
ART-D	flex_v3	39	6	0	1.941384	0.1111111111	1
ART-D	flex_v3	40	6	0	2.206673	0.2222222222	1
ART-D	flex_v3	41	6	0	1.650286	0.3333333333	3
ART-D	flex_v3	42	6	0	1.710322	0.1111111111	3
ART-D	flex_v3	43	6	0	2.360737	0.4444444444	3
ART-D	flex_v3	44	6	0	2.055834	0.3333333333	1
ART-D	flex_v3	45	6	0	2.109126	0.3333333333	2
ART-D	flex_v3	46	6	0	1.768298	0.4444444444	2
ART-D	flex_v3	47	6	0	2.074725	0.4444444444	2
ART-D	flex_v3	48	6	0	2.097946	0.3333333333	1
ART-D	flex_v3	49	6	0	2.095458	0.3333333333	1
ART-D	flex_v3	50	6	0	1.84218	0.3333333333	1
ART-D	flex_v3	1	7	0	2.489856	0.3333333333	1
ART-D	flex_v3	2	7	0	2.783889	0.2222222222	1
